date,open,high,low,close,volume
20240806,94100,102000,94100,99800,569930
20240805,102500,103400,91700,92800,826809
20240802,105100,106300,103000,104300,405083
20240801,104400,107800,103600,107200,422189
20240731,104700,105100,103600,104200,229456
20240730,104300,106700,104100,104300,239385
20240729,105200,105800,103700,105000,196098
20240726,106100,106500,104200,104800,245877
20240725,103900,108300,103800,105700,385004
20240724,105400,107300,104500,105000,472268
20240723,107700,110200,106500,106500,440711
20240722,112000,112500,107200,107600,601853
20240719,114400,117400,109700,112000,1040654
20240718,127500,128300,114900,115900,3252847
20240717,115000,123200,114000,119700,3688143
20240716,109100,115000,108000,113300,1125893
20240715,108100,111000,107500,108000,525950
20240712,108100,112700,106700,108100,856757
20240711,109200,110600,107000,107100,736233
20240710,111500,112300,108300,108300,594149
20240709,112500,113100,110600,112500,370176
20240708,111800,113000,110900,111600,276437
20240705,114900,114900,111700,112500,427507
20240704,115000,115700,112700,114500,370544
20240703,113600,116200,112500,114100,514254
20240702,115400,116900,111700,111900,488125
20240701,114000,116000,111300,115300,637244
20240628,110300,119900,109700,116100,1776299
20240627,108200,111500,108100,109100,502857
20240626,108000,111200,106100,109000,744436
20240625,108000,111000,107000,107000,807974
20240624,113500,113800,108000,108400,1063080
20240621,124800,125100,112400,114100,3189193
20240620,113100,126000,112700,121000,8538298
20240619,103600,105000,102600,104700,410996
20240618,109800,110200,102400,103100,718167
20240617,112100,114800,107900,108800,760092
20240614,104600,113300,104400,111900,922260
20240613,105200,106400,102800,105100,524507
20240612,103600,106800,103300,104200,376204
20240611,102200,105400,100700,103600,440537
20240610,102800,102800,101100,101300,384598
20240607,104700,105700,103300,103800,315977
20240605,103100,106100,101400,103600,474895
20240604,106300,107600,104000,104300,409559
20240603,101000,111900,101000,106300,1320915
20240531,103100,105900,99600,100000,908750
20240530,101300,103400,100200,102200,361181
20240529,103600,104000,101600,102100,324736
20240528,105200,106000,103700,105000,163498
20240527,101500,105400,101500,105100,297670
20240524,103200,103800,101300,101700,453820
20240523,104100,105400,103600,104200,233166
20240522,106400,106400,104100,105400,253684
20240521,107500,108000,105400,105700,256072
20240520,107800,109600,107400,108100,177298
20240517,109100,110200,107400,107700,237202
20240516,111800,112100,108700,109700,307111
20240514,111000,112500,110100,110400,174816
20240513,111600,111600,109700,110800,160093
20240510,112500,112900,110000,111200,163644
20240509,112900,113700,111300,111400,336743
20240508,111900,113000,111500,113000,210373
20240507,110800,112200,110000,112200,254931
20240503,110000,110300,109000,109600,160242
20240502,109200,111100,108600,109000,223560
20240430,113200,113300,108200,111100,545936
20240429,108000,113600,107400,112700,548435
20240426,107500,108000,105900,106700,247709
20240425,109200,109500,107400,107500,207953
20240424,110700,113200,109200,110000,322770
20240423,110400,110400,107500,108400,187000
20240422,104800,110600,104800,110600,440984
20240419,105000,105300,103200,103800,345437
20240418,104800,107500,104700,106200,226720
20240417,103600,107700,103600,104800,351798
20240416,103300,105000,102600,103800,336311
20240415,109000,110000,105200,105300,490834
20240412,110000,110800,108000,108400,439283
20240411,116300,116900,110500,110600,852391
20240409,119000,121200,117500,117500,349338
20240408,117800,119300,114200,118800,485400
20240405,118800,119900,116800,118100,359226
20240404,118500,120200,117500,119900,347444
20240403,121400,124500,116800,117400,798593
20240402,117500,122500,117200,121800,512554
20240401,116300,118500,115200,117400,260572
20240329,118700,118900,116000,116000,444662
20240328,121600,121600,118000,118400,439918
20240327,120500,121900,120400,120700,242007
20240326,120900,122800,120400,120600,362055
20240325,120500,122400,120300,121000,341937
20240322,119200,121400,119100,120000,396268
20240321,120300,121200,119500,120000,451396
20240320,123000,123800,119400,119700,757266
20240319,128000,128100,122200,125100,627338
20240318,121100,128300,120000,125600,773227
20240315,120900,121500,119500,120000,362679
20240314,119200,121700,118800,120700,654907
20240313,123100,123200,119600,119800,409170
20240312,119700,121200,119300,120900,380181
20240311,118000,119500,117500,118600,192984
20240308,120000,121200,118800,119000,320682
20240307,116000,119800,115200,118800,489113
20240306,117300,117700,115100,115700,352436
20240305,116900,118700,116200,117400,389662
20240304,117500,119700,117000,117000,338468
20240229,118400,119300,116700,117100,539100
20240228,118900,120200,118500,119600,275426
20240227,121700,122500,118300,118600,299483
20240226,123300,123300,120200,120800,319428
20240223,123600,125000,123000,123200,248423
20240222,125300,125500,123500,123500,214849
20240221,124900,126400,123800,124100,301311
20240220,128900,129600,125300,126000,363614
20240219,127200,130800,127200,128900,509358
20240216,123800,127300,123800,127100,490180
20240215,123700,123700,121700,122300,214590
20240214,121900,123000,120600,122100,250400
20240213,121800,124000,121800,122900,381580
20240208,122200,122900,120800,121000,424162
20240207,121200,123700,119400,121000,663618
20240206,129400,130900,120000,120800,1101077
20240205,124400,128700,121300,127100,567422
20240202,121600,124800,120600,124400,395620
20240201,116300,121500,116300,121200,353237
20240131,116100,118800,115700,117100,267405
20240130,121400,122200,116800,116800,391765
20240129,117100,120600,116200,120300,417349
20240126,110300,117400,110300,115800,463460
20240125,111600,112700,108900,112100,347207
20240124,109800,115300,109300,112100,505801
20240123,107800,110900,107500,109800,457394
20240122,113500,114700,108300,108300,778932
20240119,116900,118100,112700,113600,620539
20240118,117300,120500,116400,116600,397572
20240117,122400,122500,117900,117900,567740
20240116,122500,124400,122100,122400,244219
20240115,124900,125700,122500,123400,310721
20240112,126900,127300,124000,124600,377304
20240111,129100,129800,126700,126700,574183
20240110,131500,132300,128800,128900,359356
20240109,133500,134200,131500,131600,263994
20240108,134000,134900,131800,132000,271273
20240105,133700,135300,133200,133500,250665
20240104,133900,135100,132800,133700,297763
20240103,139000,139000,134300,134300,514164
20240102,139800,140300,138100,140200,286766
20231228,139000,140300,138500,140300,325192
20231227,137900,140100,137200,139100,293588
20231226,139500,139800,136600,137800,310798
20231222,138900,139800,137900,138800,259761
20231221,137800,139700,137700,137900,254701
20231220,139700,141000,138300,139600,389389
20231219,138400,139000,137400,138800,253389
20231218,140000,140000,136700,137500,304078
20231215,138000,140900,137900,138600,534013
20231214,133000,137600,132500,137600,772706
20231213,133100,133400,130800,131100,359670
20231212,134900,135800,133200,133600,361459
20231211,136000,136400,134100,134800,221307
20231208,135200,135900,134100,135600,259473
20231207,134800,135200,133100,134100,252362
20231206,135200,136200,134500,134800,207571
20231205,135800,136500,134500,135200,249212
20231204,136500,137900,134600,135800,419669
20231201,141500,141500,134400,134400,922667
20231130,141600,143100,140100,143100,325130
20231129,141800,142700,140100,142300,261047
20231128,141000,142800,140400,141300,226814
20231127,141500,141900,139500,140000,195480
20231124,143300,144000,141100,141500,181347
20231123,142300,144000,141300,142700,201099
20231122,140900,142800,140200,142300,210744
20231121,141400,142300,139200,142200,341776
20231120,137400,140900,136600,140600,339299
20231117,137100,137300,135200,136100,316282
20231116,141000,141000,137900,138800,354823
20231115,139500,140500,137800,139700,599931
20231114,133100,136500,132400,134300,497182
20231113,132700,134800,130400,131000,371436
20231110,133600,133600,131100,131300,427428
20231109,139700,140000,135600,136000,566872
20231108,144000,147000,139000,139000,774289
20231107,153000,153000,140900,144500,1494573
20231106,145000,158600,141600,155500,2562784
20231103,130800,142000,128500,137100,2182595
20231102,122000,127900,122000,127600,750765
20231101,123400,126200,120100,120400,486450
20231031,125900,126200,121300,122200,543855
20231030,123300,126100,122900,125900,511164
20231027,124800,128000,123400,124300,795838
20231026,129900,130000,124500,124700,1013987
20231025,141100,141300,133000,133000,769100
20231024,140200,141400,135800,141000,586719
20231023,140000,141500,139100,140300,398644
20231020,142000,144400,140600,141000,428892
20231019,144900,148500,143500,144000,459948
20231018,148900,150000,146400,147200,489900
20231017,150900,153400,149500,149600,489167
20231016,147000,150600,145800,149000,553977
20231013,145400,148300,144900,147100,353932
20231012,143500,149300,141600,146800,885280
20231011,138900,143400,138200,142800,699986
20231010,141900,142600,135800,136300,886919
20231006,139500,141300,138000,138700,607325
20231005,142000,143300,139200,139500,823095
20231004,146000,146100,140700,141100,831394
20230927,145200,148900,145200,148800,818037
20230926,160100,162500,149000,149600,1000496
20230925,156500,158500,154600,155200,392219
20230922,157000,158800,155900,158100,371658
20230921,162500,162700,158700,159000,534748
20230920,164200,165700,162500,164400,339998
20230919,165100,167500,163800,164200,676735
20230918,160700,167900,160600,164600,1106747
20230915,161900,162600,157000,159600,1236868
20230914,160300,162300,157100,162200,724448
20230913,166000,168000,159500,159900,824011
20230912,168900,171000,164700,167000,409015
20230911,170900,171600,166600,167900,408346
20230908,171600,172900,169300,171000,382789
20230907,175100,177000,171000,172700,424496
20230906,180200,181100,173700,174500,557968
20230905,179200,179600,176900,178800,255867
20230904,174800,180000,174700,179500,334792
20230901,179000,180600,174500,176000,348063
20230831,182800,184100,176600,177500,494683
20230830,178900,181700,177200,180000,378932
20230829,178600,179700,175800,176000,289573
20230828,174800,177300,173500,177300,333116
20230825,171200,173600,169100,173000,356577
20230824,173700,176600,171200,174200,359210
20230823,177600,178000,172800,173500,321459
20230822,178500,180600,174500,177000,370166
20230821,174200,179300,174200,176000,337177
20230818,177600,177600,173200,174100,483311
20230817,177100,180100,174500,179500,517933
20230816,182000,185600,178600,179400,556181
20230814,190500,192200,184200,184200,523143
20230811,191600,192400,188000,190500,402075
20230810,190000,195500,189600,190500,664665
20230809,190000,194500,189500,190800,489700
20230808,194800,196500,188800,191300,712657
20230807,201000,202500,190500,192400,944265
20230804,210000,210500,202000,203000,697439
20230803,197100,212000,194700,206500,1262378
20230802,198768,206640,195914,196210,1055977
20230801,222876,223368,201720,204180,1861378
20230731,193258,216972,193061,212544,2518205
20230728,179580,188633,179285,186468,1407036
20230727,200736,200736,181351,184008,2262311
20230726,205164,225828,188928,201228,4689978
20230725,198768,203688,194045,202212,1992632
20230724,175644,196111,175447,193356,3560955
20230721,170626,175447,167575,173873,797093
20230720,167870,179482,167772,170921,1862534
20230719,169838,169838,165509,166788,702576
20230718,164525,169642,164033,167772,1260666
20230717,161081,163147,158916,161376,563664
20230714,162458,163246,159014,161081,577708
20230713,164525,165706,162163,162754,673539
20230712,162852,164623,161671,163344,443470
20230711,160687,164230,160589,161868,455997
20230710,164033,164722,160294,160490,545008
20230707,163344,166001,161573,163344,465908
20230706,165804,166198,162655,163246,487069
20230705,164131,166690,161966,164623,600354
20230704,163344,167182,162065,164033,826628
20230703,157932,163049,157834,160884,719962
20230630,155866,157834,155374,155964,453240
20230629,157834,159605,155275,155472,602653
20230628,164918,165706,158030,158129,998575
20230627,167378,168756,164033,164623,873959
20230626,166788,170527,163639,168756,1959008
20230623,184795,186665,179088,179678,755755
20230622,178596,181253,178006,179875,397559
20230621,180466,183319,178694,178793,509647
20230620,184894,184992,180662,181154,641527
20230619,184598,185779,182827,185484,449113
20230616,188633,189617,184992,185189,663588
20230615,190896,193651,186665,187846,660176
20230614,197784,197784,188633,189814,876136
20230613,197292,198276,192864,196406,629535
20230612,198768,200736,196800,197784,388998
20230609,196800,198768,195422,197292,526144
20230608,201720,201720,193061,194930,880518
20230607,197292,204180,197292,203196,755609
20230605,196800,199752,193848,196505,459620
20230602,191486,196013,189518,194832,719821
20230601,186370,191290,186271,190994,671468
20230531,186763,189617,186074,186074,691002
20230530,182532,190306,182138,188830,1050848
20230526,181942,181942,178596,179875,317945
20230525,181942,185582,180859,182729,606542
20230524,180269,182335,178694,180859,302801
20230523,178990,183713,178596,181056,633170
20230522,174758,178104,173774,177809,373693
20230519,180662,180662,174660,174758,492144
20230518,180466,180564,177120,179482,278416
20230517,174168,179580,172889,179186,412064
20230516,174168,175644,172692,174168,305543
20230515,174266,174463,171511,173184,317633
20230512,174955,177415,173873,174266,303491
20230511,176923,178990,174660,175349,458707
20230510,184008,184402,177218,177415,692341
20230509,184598,187649,179383,185976,905903
20230508,180662,189223,180269,182040,1565424
20230504,172298,179777,170724,176136,795967
20230503,175841,176333,172790,172987,403996
20230502,171708,177907,170724,177022,703059
20230428,178006,178596,169051,170330,769541
20230427,173184,176234,171413,175742,523458
20230426,171019,176628,170429,174660,514041
20230425,176825,177120,168461,172298,718216
20230424,176825,178498,175152,176234,439448
20230421,181548,181843,175250,179088,724819
20230420,182532,185386,181548,182434,477080
20230419,185189,186271,183418,184500,547886
20230418,192372,192372,182532,184992,1098797
20230417,188830,195127,187452,190404,980161
20230414,190404,190502,186271,187354,681136
20230413,185484,189420,183221,188633,938173
20230412,197292,201228,189420,190109,1401267
20230411,202704,205656,192962,199752,1631872
20230410,186074,195914,184106,194537,2362718
20230407,173381,184697,171314,180564,1737472
20230406,175742,175939,170330,173381,899017
20230405,178990,179974,175054,176234,762714
20230404,179678,185189,176628,178301,1476549
20230403,178596,181745,176333,177120,1202301
20230331,180564,182434,174857,176431,1977998
20230330,163934,191782,160490,184205,6199402
20230329,161376,163934,159605,161868,496395
20230328,165312,165804,159014,160589,754269
20230327,159113,166690,158227,164131,1103129
20230324,158326,159605,154291,157046,544083
20230323,156358,158522,155177,156653,606859
20230322,156554,159113,153799,158227,711931
20230321,155866,156948,153012,154193,551876
20230320,159506,159802,154783,155866,603984
20230317,162163,162458,158227,159605,572887
20230316,160195,163442,157932,160884,602329
20230315,170232,170232,161376,162557,855999
20230314,171610,171806,166198,167280,569252
20230313,169051,173676,165902,173282,748037
20230310,160687,171610,159408,170724,1217754
20230309,169150,169248,160589,162262,1271597
20230308,171216,171314,165804,168166,797939
20230307,167083,177022,166493,173971,1704641
20230306,160294,166296,156751,165312,1187098
20230303,159605,161474,156161,158227,642851
20230302,148781,158424,148092,157932,1099687
20230228,150454,150847,147698,147698,607626
20230227,151634,151634,147600,149470,473648
20230224,153996,154390,152520,152618,379779
20230223,157243,157342,153602,153996,518425
20230222,157932,158916,156161,156259,448986
20230221,157637,159998,156948,159408,654068
20230220,157342,158129,154586,156062,332567
20230217,154783,158818,153799,157735,478229
20230216,153504,159113,153406,157440,969126
20230215,162852,162852,151142,152520,1926224
20230214,167280,167969,164131,164820,414512
20230213,164820,169543,164820,166394,508164
20230210,164230,165607,162557,164623,428167
20230209,161474,168854,160589,166099,770181
20230208,160392,163049,160195,162458,671432
20230207,168461,172200,159998,159998,1580139
20230206,167575,171610,165804,168166,403677
20230203,168756,170232,165706,169248,430374
20230202,169248,173184,169150,170232,643992
20230201,159703,168953,158522,167870,671152
20230131,161179,163639,158916,159506,376873
20230130,166394,166493,160687,161179,344614
20230127,162852,167772,162163,166788,519861
20230126,159113,161868,155964,161770,403494
20230125,156456,160195,155964,158916,408363
20230120,151044,153996,151044,153996,167973
20230119,149568,153012,149568,152028,188635
20230118,153996,153996,150552,151536,273635
20230117,154980,155472,151044,153012,252913
20230116,157932,158424,153996,154980,371375
20230113,154980,159900,154980,157440,329211
20230112,153012,155472,151536,154488,371441
20230111,147108,151044,147108,151044,416471
20230110,150060,151044,145632,146124,549064
20230109,150552,151044,148092,150060,294568
20230106,143664,149076,143664,148092,194434
20230105,147600,149076,145140,145632,254777
20230104,145140,148584,141696,147108,286659
20230103,152028,153504,145140,148092,352834
20230102,153012,156948,152520,152520,185235
20221229,152520,153996,150552,151536,205222
20221228,157932,158424,151536,153996,322492
20221227,158424,159900,157440,158424,196913
20221226,159408,159900,157932,158424,163524
20221223,162360,164328,158424,158916,216988
20221222,162852,166296,161376,164820,246881
20221221,163836,163836,161868,162852,133202
20221220,163836,164328,161868,162360,160453
20221219,164820,165312,162852,165312,136165
20221216,161868,166788,160884,166788,228997
20221215,167280,169248,164328,164820,193687
20221214,166788,168756,165804,167280,152524
20221213,166788,167772,161868,166788,238115
20221212,163344,167772,163344,165312,255180
20221209,161376,167280,160392,165804,422743
20221208,159900,165312,159900,160884,346106
20221207,166296,168264,161376,161868,359900
20221206,166296,168756,164328,167772,282884
20221205,171216,172200,167772,168756,242495
20221202,173184,173676,169248,171216,291735
20221201,179580,179580,173184,174660,462610
20221130,172692,176136,168756,176136,496309
20221129,171708,173676,167772,172200,291733
20221128,174168,176628,169740,171708,477685
20221125,167280,176628,165312,172692,790063
20221124,165804,167280,163836,166296,296615
20221123,166788,167772,163836,165804,279413
20221122,167280,167772,163836,164820,199830
20221121,170232,170724,163344,167772,362319
20221118,168264,173184,166788,169740,303670
20221117,174168,176628,168264,168264,408909
20221116,176136,177120,171216,174660,342396
20221115,176136,177612,173676,175152,374329
20221114,179580,180072,174660,177120,520835
20221111,183516,184500,178104,179580,569101
20221110,176628,182040,175152,178104,285689
20221109,184008,185484,179088,180072,353685
20221108,181056,185976,178596,182040,579038
20221107,177120,181548,176136,178596,555482
20221104,186468,186468,173184,174660,979405
20221103,176136,188928,174168,186468,1104861
20221102,177612,189912,177120,180564,1128996
20221101,171708,183024,171216,179580,1256837
20221031,169248,173184,166296,170232,616690
20221028,165312,170232,165312,165804,533046
20221027,153996,167280,153504,167280,1017431
20221026,151536,154980,151044,151536,286052
20221025,152520,154980,150552,151536,257542
20221024,155964,157932,152028,152520,265428
20221021,153012,155472,152520,153504,225773
20221020,159408,159408,150552,152520,582557
20221019,154980,163836,153504,160884,542197
20221018,156456,156948,152520,153996,256162
20221017,151044,154488,149076,153996,215672
20221014,152028,157440,151536,154488,413563
20221013,152520,153504,148584,149076,366822
20221012,152028,154980,147600,154980,299491
20221011,151044,156456,150552,153504,538573
20221007,149568,156948,148584,155964,517352
20221006,155964,157440,148584,150552,479861
20221005,156948,158424,152028,153996,446003
20221004,145632,152520,145140,151536,383298
20220930,142680,145140,140220,141204,330581
20220929,149076,151536,143172,143664,437760
20220928,148584,149076,144156,146124,404329
20220927,155472,155964,146124,148584,669208
20220926,157932,160392,154488,155964,445971
20220923,172692,172692,160884,161868,566217
20220922,172692,173184,168264,172692,350938
20220921,175152,178104,173184,175644,270311
20220920,176136,181548,175152,176136,273394
20220919,175644,177612,173184,173676,204260
20220916,179580,179580,173184,174660,414588
20220915,186960,187452,182040,182040,210596
20220914,182532,187944,181548,185976,315308
20220913,190896,190896,186468,189420,374706
20220908,180564,186468,176136,186468,471426
20220907,183516,185484,179580,181548,243856
20220906,186468,189912,183024,184500,309866
20220905,177612,184992,177612,183024,439823
20220902,177120,180072,174660,178596,436206
20220901,184008,184500,175644,175644,988124
20220831,190896,191388,183516,186960,719799
20220830,195324,197292,189912,193356,275620
20220829,193356,196308,192372,193356,350660
20220826,202212,202704,198276,200244,282550
20220825,204672,207132,199752,201720,256827
20220824,201720,210084,201228,201720,424674
20220823,200244,202704,198276,199260,243576
20220822,197292,204672,197292,201720,302407
20220819,207624,207624,198276,201228,359236
20220818,205656,208608,202212,207132,311728
20220817,202212,210084,202212,206640,608484
20220816,197292,208116,194832,200244,624251
20220812,195324,201228,192864,196308,345773
20220811,191880,196308,190404,195324,384686
20220810,191880,192864,187452,187944,241598
20220809,192864,195324,190404,191880,432704
20220808,183516,192864,182532,192372,662396
20220805,182040,183516,180564,182532,263965
