date,open,high,low,close,volume
20240925,18340,18620,18080,18100,2332580
20240924,18250,18330,17760,18160,2653431
20240923,18300,18720,18120,18200,3924727
20240920,18710,18790,17950,17960,5353964
20240919,18500,18750,18310,18710,4720304
20240913,18290,18670,17820,18160,5730891
20240912,16500,17710,16500,17710,4467950
20240911,16700,16830,16260,16370,2024091
20240910,16910,16970,16540,16560,1575573
20240909,16150,16890,16100,16800,1829627
20240906,16620,16890,16490,16570,2141879
20240905,17200,17350,16570,16620,3117440
20240904,17100,17650,16900,17200,3900091
20240903,17890,18020,17600,17650,2152522
20240902,18300,18300,17830,17890,1972917
20240830,18000,18460,17990,18100,3987360
20240829,18420,18450,17660,17750,4748040
20240828,17780,18840,17730,18480,8797648
20240827,17250,17870,17050,17860,2821052
20240826,18010,18020,17230,17430,3234955
20240823,17730,18110,17600,18010,2158110
20240822,18060,18120,17630,17760,1844964
20240821,17840,18100,17600,18040,2239981
20240820,18350,18350,17960,17970,2970641
20240819,18890,18890,18160,18230,3153671
20240816,18410,18960,18410,18750,4173741
20240814,18440,18470,18100,18170,1949539
20240813,18450,18700,18120,18150,3047042
20240812,17790,18490,17720,18340,3352235
20240809,17720,17880,17500,17690,2791297
20240808,16610,17680,16590,17540,6916530
20240807,16800,17170,16610,16850,3752220
20240806,16020,17300,16020,16870,7701706
20240805,17280,17290,15150,15860,8528030
20240802,18440,18440,17660,17690,6333063
20240801,18850,19040,18710,18710,3223275
20240731,18640,19800,18640,18830,14217304
20240730,18410,18720,18150,18560,5141839
20240729,18930,18970,18310,18530,5559272
20240726,18800,19300,18800,18870,5558211
20240725,19750,20200,18910,18930,9151927
20240724,19760,20100,19640,19820,6287396
20240723,20050,20350,19610,19880,9843278
20240722,20300,20750,20000,20200,10307333
20240719,21100,21100,20100,20200,14963385
20240718,23850,25000,20900,21000,63401772
20240717,21100,22500,21050,21250,28715925
20240716,21700,21700,20300,21000,11853733
20240715,21700,21900,20900,21600,13663975
20240712,20800,21700,19970,20900,25828467
20240711,21850,22150,21400,21850,9593927
20240710,22350,22350,21500,21850,10787800
20240709,21350,22300,21150,22250,27672205
20240708,19850,21600,19700,21000,17115452
20240705,19450,19680,19310,19540,3669523
20240704,19280,19610,19230,19450,3031068
20240703,19390,19710,19220,19260,3217410
20240702,20000,20050,19230,19330,5001382
20240701,20100,20400,19850,19950,3308069
20240628,19790,20450,19630,20100,4460272
20240627,20200,20200,19410,19890,8053252
20240626,20750,20800,20100,20400,3944738
20240625,20700,20800,20150,20500,4365817
20240624,21100,21150,20550,20800,5116277
20240621,20850,21150,20400,20900,6442943
20240620,21200,21300,20600,20850,8196543
20240619,20050,21400,19820,21150,22507234
20240618,19790,19940,19350,19720,5968659
20240617,19800,19920,19550,19680,3791849
20240614,19760,20150,19520,19660,8012095
20240613,20050,20200,19520,19520,8249591
20240612,19300,20250,19290,20000,13075043
20240611,19720,19920,19050,19160,7737686
20240610,19270,19740,19230,19450,8708921
20240607,19320,19840,19060,19170,9572160
20240605,19190,19400,18700,19120,11131017
20240604,20300,20600,19060,19200,22201157
20240603,21350,21350,20700,20750,10844092
20240531,20550,21750,20400,20800,23319880
20240530,20700,21000,20200,20600,13731664
20240529,21500,22000,20550,20950,24131082
20240528,21900,22000,20550,21800,40450557
20240527,20050,21750,19700,21300,69376008
20240524,17950,18280,17440,18260,4634875
20240523,18380,18400,17970,18120,4907488
20240522,17750,18380,17710,18060,7405159
20240521,17800,17990,17660,17710,2644936
20240520,18100,18180,17690,17800,4049716
20240517,17990,18370,17960,18050,4289283
20240516,17890,18230,17860,18100,6900766
20240514,17750,17890,17530,17670,2709021
20240513,17480,17840,17270,17700,3857620
20240510,17790,17820,17260,17330,3452162
20240509,17370,17940,17330,17640,5610241
20240508,17040,17350,16970,17350,4228373
20240507,16670,17150,16620,17080,4909006
20240503,16670,16900,16290,16550,2742456
20240502,16860,17090,16500,16500,3091806
20240430,16860,17040,16600,16800,3357626
20240429,16480,16950,16300,16790,4319136
20240426,15950,16250,15780,16210,2584334
20240425,15700,16400,15610,15860,4182658
20240424,15770,15910,15580,15770,2265827
20240423,15640,15720,15430,15540,2243428
20240422,14950,15800,14950,15730,4363033
20240419,14750,14790,14360,14690,2638314
20240418,14400,14960,14400,14900,2901014
20240417,14630,14800,14320,14320,2717485
20240416,15000,15060,14540,14600,3657519
20240415,15160,15380,15000,15120,2081675
20240412,15060,15380,14940,15310,3335803
20240411,15860,15860,15000,15120,9126279
20240409,16580,16650,16210,16250,2301107
20240408,16980,16980,16500,16550,2300795
20240405,16630,17080,16570,16980,2715731
20240404,16710,16850,16480,16810,2412736
20240403,16630,16760,16460,16500,2499652
20240402,17200,17200,16640,16780,5075350
20240401,17340,17400,17060,17270,2146515
20240329,17490,17600,17220,17220,2524536
20240328,17850,18100,17500,17520,4830265
20240327,17150,17550,17010,17480,3863061
20240326,17300,17460,16970,17210,4156582
20240325,17890,17980,17230,17300,4860054
20240322,17890,18190,17790,17890,3747422
20240321,17650,18130,17610,18070,5160145
20240320,17500,17750,17210,17740,6722040
20240319,18350,18920,17780,17840,12722844
20240318,18150,18180,17810,17860,3999193
20240315,18470,18550,17760,17980,8533585
20240314,17700,18500,17550,18230,18288130
20240313,17110,17790,17000,17480,14079981
20240312,16970,17150,16610,17030,8074010
20240311,15960,17290,15890,16720,22523304
20240308,15710,15900,15440,15860,2084140
20240307,15680,15680,15420,15580,1401354
20240306,15500,15710,15350,15630,1752227
20240305,15800,15870,15460,15460,2319953
20240304,16300,16420,15770,15770,3110647
20240229,16100,16240,15950,16240,2035766
20240228,15970,16270,15860,16140,1681722
20240227,16210,16390,15850,15960,2117223
20240226,16490,16530,16080,16130,2244025
20240223,16600,16630,16210,16350,4013239
20240222,15990,16490,15770,16300,6214676
20240221,15540,16150,15460,15970,4448086
20240220,15720,15720,15430,15540,1828555
20240219,15370,15670,15340,15630,2066654
20240216,15490,15570,15330,15370,1438734
20240215,15550,15620,15370,15390,1518495
20240214,15460,15460,15290,15360,1559104
20240213,15690,15780,15550,15620,1614544
20240208,15300,15710,15290,15620,2392223
20240207,15280,15430,15170,15240,1694519
20240206,15290,15450,15230,15320,1409909
20240205,15960,15960,15340,15370,3312720
20240202,15400,16100,15310,16000,5846733
20240201,15440,15580,15210,15380,1935366
20240131,14900,15440,14890,15440,3684053
20240130,15480,15600,15030,15030,1877476
20240129,15230,15560,15200,15320,2313980
20240126,14870,15280,14790,15170,2122184
20240125,14840,14870,14300,14870,2985230
20240124,15010,15020,14800,14860,1197281
20240123,15030,15150,14980,15000,1248628
20240122,15270,15280,15000,15010,1287642
20240119,14870,15130,14870,15130,1636362
20240118,14750,14920,14640,14780,1941646
20240117,15270,15270,14560,14570,2935031
20240116,15320,15360,15090,15230,1531386
20240115,15120,15320,15060,15320,1318881
20240112,15200,15270,15020,15060,1704650
20240111,15200,15480,15150,15150,1719484
20240110,15580,15640,15160,15190,2340544
20240109,15700,15780,15580,15580,1259097
20240108,15680,15730,15530,15560,1581709
20240105,15690,15780,15550,15560,1539993
20240104,15510,15660,15410,15570,1514733
20240103,15850,15900,15600,15600,2191181
20240102,15900,16040,15720,16010,2109268
20231228,15660,15900,15510,15900,2335589
20231227,15430,15640,15400,15640,1567855
20231226,15610,15700,15370,15420,2084693
20231222,15650,15650,15410,15510,1671315
20231221,15780,15900,15480,15550,2524263
20231220,15790,15980,15720,15910,2253632
20231219,15450,15840,15450,15680,1562940
20231218,15850,15910,15690,15750,1443735
20231215,15900,15930,15740,15910,2139101
20231214,15670,15840,15600,15840,2730039
20231213,15810,15810,15380,15450,1851766
20231212,15730,15950,15700,15800,2277725
20231211,15390,15570,15210,15510,2764922
20231208,15870,16080,15710,15720,2014425
20231207,15890,15900,15580,15890,2155438
20231206,16150,16240,15840,15950,3611870
20231205,15600,16170,15570,15900,5270726
20231204,15380,15720,15380,15610,3099825
20231201,15600,15600,15220,15270,2260691
20231130,14990,15800,14870,15800,3705112
20231129,15260,15260,14970,15070,1786131
20231128,15110,15340,15030,15260,2643879
20231127,15080,15100,14840,14960,1661963
20231124,14950,15130,14880,15020,1703946
20231123,14730,15080,14710,14940,3026285
20231122,14750,14770,14450,14610,1688901
20231121,14700,14780,14530,14690,2008313
20231120,14370,14720,14290,14680,1707728
20231117,14610,14620,14340,14390,1386982
20231116,14700,14740,14530,14600,1614014
20231115,14450,14660,14360,14660,2557703
20231114,13860,14210,13800,14210,1811655
20231113,13980,14040,13680,13720,1697288
20231110,13850,13940,13770,13840,1636104
20231109,14290,14410,14020,14110,3451251
20231108,14610,14850,14470,14550,2276346
20231107,15000,15000,14350,14580,3590867
20231106,14540,15000,14360,15000,5270912
20231103,14020,14190,13770,13980,2417312
20231102,13690,14030,13580,13910,2901997
20231101,13550,13690,13410,13460,1675872
20231031,13910,13920,13350,13420,2783847
20231030,13450,13790,13450,13780,1976907
20231027,13740,13870,13500,13580,2140230
20231026,13810,13930,13560,13630,2597308
20231025,14120,14160,13930,14060,1728852
20231024,13990,14130,13460,14050,2718220
20231023,13830,14050,13800,13860,2164663
20231020,13950,14090,13730,13830,3044333
20231019,14190,14270,13960,14030,3101406
20231018,14280,14520,14280,14420,2341923
20231017,14440,14730,14270,14270,3452233
20231016,14390,14570,14170,14290,3670542
20231013,15300,15310,14400,14530,7824978
20231012,15280,15440,14970,15130,4094298
20231011,14950,15280,14860,15210,3159069
20231010,14950,15330,14750,14800,6464477
20231006,15400,15650,15370,15440,2209136
20231005,15880,16050,15500,15530,3060416
20231004,16340,16380,15760,15770,4253850
20230927,16140,16500,16090,16430,2166027
20230926,16620,16760,16310,16330,3017727
20230925,16630,16680,16460,16550,2921505
20230922,16650,16950,16550,16670,3567261
20230921,16980,17200,16800,16840,4370886
20230920,17850,17850,17050,17060,6875625
20230919,17950,18090,17410,17900,17114186
20230918,17170,17320,17020,17020,2142331
20230915,17040,17190,16900,17170,2925758
20230914,16900,17020,16790,17020,2531644
20230913,16770,17010,16600,16910,2985320
20230912,17290,17290,16750,16770,4082563
20230911,16970,17730,16970,17220,8021543
20230908,16800,16870,16610,16850,2658948
20230907,16530,16760,16520,16660,3142247
20230906,17000,17080,16600,16610,4131111
20230905,17230,17240,16910,16970,3644463
20230904,17480,17710,17170,17190,4217999
20230901,18290,18550,17410,17470,9137701
20230831,17990,18760,17830,18220,17523405
20230830,17400,17820,17350,17750,5876303
20230829,17290,17440,17100,17360,3520744
20230828,16870,17330,16870,17170,5669524
20230825,16360,16810,16340,16700,2370322
20230824,16700,16700,16220,16570,3075005
20230823,15990,16850,15990,16380,5050867
20230822,16070,16110,15960,15990,2318700
20230821,16000,16280,15980,16020,2066185
20230818,16020,16260,15940,16020,2713901
20230817,16230,16350,15950,16250,3587408
20230816,16450,16580,16300,16310,2911073
20230814,16960,17050,16590,16610,3222873
20230811,16900,17070,16810,16930,2143319
20230810,16910,17080,16810,16880,2426479
20230809,16800,17040,16730,17000,2682800
20230808,16830,17060,16680,16760,2897858
20230807,17050,17240,16780,16800,3702972
20230804,16970,17080,16710,16920,3665049
20230803,17840,17850,16940,16970,6967040
20230802,17440,18240,17330,17690,10983837
20230801,17460,17730,17350,17500,3702874
20230731,17850,17850,17370,17490,5780632
20230728,16860,17480,16570,17480,5137810
20230727,16630,17210,16630,16860,4696296
20230726,17760,17770,16550,16720,10079108
20230725,17310,17790,17310,17710,5707891
20230724,17370,17390,17030,17280,4077810
20230721,17500,17570,17260,17370,3059896
20230720,17650,17650,17270,17570,2853528
20230719,17350,17690,17180,17670,4079456
20230718,17690,17780,17310,17350,4769079
20230717,17910,18020,17550,17600,5080681
20230714,18870,18870,17840,17890,12639660
20230713,18480,19180,18170,19060,8868816
20230712,19020,19110,18350,18390,7333258
20230711,18050,18930,18030,18850,12449251
20230710,17500,17940,17500,17730,4260814
20230707,17330,17590,17160,17400,3739076
20230706,17700,17810,17360,17400,4432982
20230705,18050,18200,17610,17740,4161144
20230704,18080,18080,17800,17920,3546173
20230703,18210,18220,17910,18100,3281662
20230630,17870,18180,17860,18110,3431001
20230629,18140,18180,17700,17750,3398202
20230628,18340,18340,17970,18000,3466874
20230627,17830,18300,17810,18230,5005256
20230626,17900,18040,17550,17790,5166894
20230623,17900,18370,17890,18110,5520005
20230622,19260,19280,18000,18010,13508101
20230621,19400,19660,19040,19270,7437770
20230620,19370,20200,19160,19270,15170674
20230619,19340,19370,19010,19280,6161779
